acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
49911,1,Car,No tow/articulation,Turning right,53,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Female,20,Not requested,,Other,,,unset,On main carriageway - not in restricted la
50511,1,Car,No tow/articulation,U turn,22,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,56,Negative,,Other,,,unset,On main carriageway - not in restricted la
50511,2,Car,No tow/articulation,Going ahead left hand bend,62,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,34,Negative,,Other,,,unset,On main carriageway - not in restricted la
51111,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,26,Not requested,,Other,,,unset,On main carriageway - not in restricted la
51711,1,Car,No tow/articulation,Going ahead other,73,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Not traced,-9,Negative,,Other,,,unset,On main carriageway - not in restricted la
51711,2,Car,No tow/articulation,Going ahead other,51,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Female,57,Not requested,,Other,,,unset,On main carriageway - not in restricted la
52211,1,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,78,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,59,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
53311,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Male,27,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
53311,2,Pedal cycle,No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,36,Not requested,,Other,,,unset,On main carriageway - not in restricted la
54511,1,Car,No tow/articulation,Stopping,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,25,Not requested,,Other,,,unset,On main carriageway - not in restricted la
55411,1,Car,No tow/articulation,Going ahead left hand bend,51,Did not impact,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,58,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
55411,2,Pedal cycle,No tow/articulation,Going ahead other,37,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,29,Not requested,,Other,,,unset,On main carriageway - not in restricted la
56511,1,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Male,27,Not requested,,Other,,,unset,On main carriageway - not in restricted la
56511,2,Goods vehicle 7.5 tonnes mgw and over,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
56611,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,38,Not requested,,Other,,,unset,On main carriageway - not in restricted la
57011,1,Car,No tow/articulation,Going ahead other,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,27,Not requested,,Other,,,unset,On main carriageway - not in restricted la
57011,2,Car,No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Male,45,Not requested,,Other,,,unset,On main carriageway - not in restricted la
58911,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),Skidding,Parked vehicle - unlit,Left carriageway offside,Other permanent objects,,Nearside,2,,0,Female,26,Negative,,Other,,,unset,On main carriageway - not in restricted la
58911,2,Car,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
60511,1,Car,No tow/articulation,Overtaking stationary vehice on its offside,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,51,Negative,,Other,,,unset,On main carriageway - not in restricted la
61911,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Turning right,17,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,2,,0,Male,24,Not requested,,Other,,,unset,On main carriageway - not in restricted la
61911,2,Car,No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,61,Not requested,,Other,,,unset,On main carriageway - not in restricted la
62311,1,Car,No tow/articulation,Overtaking stationary vehice on its offside,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,49,Negative,,Other,,,unset,On main carriageway - not in restricted la
63111,1,Car,No tow/articulation,Changing lane to left,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,78,Negative,,Other,,,unset,On main carriageway - not in restricted la
63111,2,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,Kerb,Did not _leave carriageway,None,,Offside,1,,0,Female,36,Not requested,,Other,,,unset,On main carriageway - not in restricted la
63711,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway nearside,None,,Nearside,2,,0,Not traced,-9,Driver not contacted at time of accident,,Hit and Run,,,unset,Footway (pavement)
63711,2,Motor cycle 125cc and under,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Male,31,Negative,,Other,,,unset,Footway (pavement)
64411,1,Car,No tow/articulation,Going ahead other,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,0,,0,Not traced,-9,Driver not contacted at time of accident,,Hit and Run,,,unset,On main carriageway - not in restricted la
64911,1,Car,No tow/articulation,Turning right,53,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,46,Negative,,Other,,,unset,On main carriageway - not in restricted la
64911,2,Car,No tow/articulation,Going ahead right hand bend,37,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Male,27,Negative,,Other,,,unset,On main carriageway - not in restricted la
65211,1,Bus or coach (17 or more passenger seats),No tow/articulation,Stopping,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,49,Not requested,,Other,,,unset,On main carriageway - not in restricted la
66511,1,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,20,Negative,,Other,,,unset,On main carriageway - not in restricted la
66511,2,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway offside,None,,Front,1,,0,Male,75,Not provided (Medical reasons),,Other,,,unset,On main carriageway - not in restricted la
66811,1,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,37,Not requested,,Other,,,unset,On main carriageway - not in restricted la
67211,1,Car,No tow/articulation,Going ahead left hand bend,51,Vehicle approaching junction/vehicle par,Skidding,Kerb,Left carriageway nearside and rebounded,Other permanent objects,,Front,0,,0,Male,25,Negative,,Other,,,unset,On main carriageway - not in restricted la
67711,1,Bus or coach (17 or more passenger seats),No tow/articulation,Starting,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,0,,0,Not traced,-9,Driver not contacted at time of accident,,Hit and Run,,,unset,On main carriageway - not in restricted la
68911,1,Bus or coach (17 or more passenger seats),No tow/articulation,Stopping,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,38,Negative,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
69211,1,Car,No tow/articulation,Going ahead other,73,Did not impact,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,86,Negative,,Other,,,unset,On main carriageway - not in restricted la
69211,2,Pedal cycle,No tow/articulation,Going ahead other,51,Vehicle cleared junction/vehicle parked,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,30,Not requested,,Other,,,unset,On main carriageway - not in restricted la
69611,1,Car,No tow/articulation,Going ahead other,51,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Not traced,59,Driver not contacted at time of accident,,Hit and Run,,,unset,On main carriageway - not in restricted la
70211,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,18,Negative,,Other,,,unset,On main carriageway - not in restricted la
70211,2,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
